DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,working_age_pop,Houses,CPI,UNRATE,EmpRate,Cons_Material,FEDFUNDS,urban_pop_us,Num_Households,median_income,Subsidy,old_age_pop,CSUSHPISA_smoothed,Houses_smoothed,Cons_Material_smoothed,FEDFUNDS_smoothed,UNRATE_smoothed,EmpRate_smoothed
2005-05-01,169.351,2005,5,53963.0,190710241.839535,4.2,193.6,5.1,71.5286159105597,168.1,3.0,79.9,113343.0,66780.0,27.651,12.4,167.55466666666666,4.2,169.36666666666667,2.8066666666666666,5.166666666666667,71.4102220708916
2005-06-01,171.19,2005,6,54058.0,190962534.95537505,4.3,193.7,5.0,71.494360179617,167.8,3.04,79.9,113343.0,66780.0,27.651,12.4,169.34733333333335,4.266666666666667,168.63333333333335,2.9433333333333334,5.1000000000000005,71.48653995462631
2005-07-01,172.86,2005,7,54153.0,191115008.889206,4.2,194.9,5.0,71.6281305421663,167.2,3.26,79.9,113343.0,66780.0,27.651,12.4,171.1336666666667,4.233333333333333,167.7,3.1,5.033333333333334,71.55036887744767
2005-08-01,174.442,2005,8,54207.666666666664,191266347.303718,4.5,196.1,4.9,71.8245572251537,165.9,3.5,79.9,113343.0,66780.0,27.651,12.4,172.8306666666667,4.333333333333333,166.96666666666667,3.266666666666667,4.966666666666666,71.64901598231233
2005-09-01,176.438,2005,9,54262.333333333336,191439119.291909,4.7,198.8,5.0,71.6869795970993,168.9,3.62,79.9,113343.0,66780.0,27.651,12.4,174.58,4.466666666666668,167.33333333333334,3.4599999999999995,4.966666666666666,71.71322245480643
2005-10-01,178.028,2005,10,54317.0,191655296.67140105,4.5,199.1,5.0,71.693833341672,171.6,3.78,79.9,113343.0,66780.0,27.651,12.4,176.30266666666668,4.566666666666667,168.79999999999998,3.6333333333333333,4.966666666666666,71.73512338797501
2005-11-01,179.68,2005,11,54520.333333333336,191932178.95897,5.0,198.1,5.0,71.5574156434844,172.7,4.0,79.9,113343.0,66780.0,27.651,12.4,178.04866666666666,4.733333333333334,171.0666666666667,3.8000000000000003,5.0,71.64607619408524
2005-12-01,180.91,2005,12,54723.666666666664,192145058.962593,4.9,198.1,4.9,71.6272922696257,173.5,4.16,79.9,113343.0,66780.0,27.651,12.4,179.53933333333336,4.800000000000001,172.6,3.9800000000000004,4.966666666666668,71.6261804182607
2006-01-01,182.321,2006,1,54927.0,192350560.3665,5.3,199.3,4.7,71.690531744003,177.2,4.29,80.1,114384.0,67520.0,28.604,12.4,180.97033333333334,5.066666666666667,174.46666666666667,4.15,4.866666666666667,71.62507988570438
2006-02-01,183.287,2006,2,54933.0,192542668.33467495,6.1,199.4,4.8,71.7741807061563,177.7,4.49,80.1,114384.0,67520.0,28.604,12.4,182.1726666666667,5.433333333333334,176.13333333333333,4.3133333333333335,4.800000000000001,71.697334906595
2006-03-01,184.364,2006,3,54939.0,192688773.082679,5.9,199.7,4.7,71.8419289732005,178.3,4.59,80.1,114384.0,67520.0,28.604,12.4,183.32399999999998,5.766666666666667,177.73333333333335,4.456666666666667,4.733333333333333,71.76888047445327
2006-04-01,184.329,2006,4,54945.0,192815179.50508305,6.3,200.7,4.7,71.7892300842693,179.0,4.79,80.1,114384.0,67520.0,28.604,12.4,183.99333333333334,6.1000000000000005,178.33333333333334,4.623333333333334,4.733333333333333,71.8017799212087
2006-05-01,184.156,2006,5,54925.333333333336,192912881.347801,6.2,201.3,4.6,71.8686595430653,179.9,4.94,80.1,114384.0,67520.0,28.604,12.4,184.28300000000002,6.133333333333334,179.0666666666667,4.773333333333333,4.666666666666667,71.83327286684504
2006-06-01,183.507,2006,6,54905.666666666664,193147759.188992,6.3,201.8,4.6,72.0066357740408,180.7,4.99,80.1,114384.0,67520.0,28.604,12.4,183.99733333333333,6.266666666666667,179.86666666666665,4.906666666666667,4.633333333333333,71.8881751337918
2006-07-01,183.068,2006,7,54886.0,193315722.206678,7.3,202.9,4.7,72.0067876189087,182.3,5.24,80.1,114384.0,67520.0,28.604,12.4,183.57700000000003,6.6000000000000005,180.96666666666667,5.0566666666666675,4.633333333333334,71.96069431200495
2006-08-01,182.594,2006,8,54996.0,193456189.209716,6.7,203.8,4.7,72.0966157600494,182.6,5.25,80.1,114384.0,67520.0,28.604,12.4,183.05633333333333,6.766666666666667,181.86666666666667,5.16,4.666666666666667,72.0366797176663
2006-09-01,182.798,2006,9,55106.0,193557903.088906,6.7,202.8,4.5,72.050873036717,183.3,5.25,80.1,114384.0,67520.0,28.604,12.4,182.82000000000002,6.900000000000001,182.73333333333335,5.246666666666667,4.633333333333333,72.0514254718917
2006-10-01,183.198,2006,10,55216.0,193702904.57828,7.3,201.9,4.4,72.2433147607166,182.3,5.25,80.1,114384.0,67520.0,28.604,12.4,182.86333333333334,6.8999999999999995,182.73333333333335,5.25,4.533333333333334,72.13026785249433
2006-11-01,183.609,2006,11,55230.666666666664,193948914.748138,6.6,202.0,4.5,72.1793588670628,179.8,5.25,80.1,114384.0,67520.0,28.604,12.4,183.20166666666668,6.866666666666667,181.79999999999998,5.25,4.466666666666668,72.15784888816547
